Id,Label
#gaylobby,#gaylobby
#lgbtq,#lgbtq
@AllOut,@AllOut
#tiktok,#tiktok
#snowflake,#snowflake
#dads,#dads
#libsoftiktok,#libsoftiktok
#moms,#moms
#bannedbookschat,#bannedbookschat
#lgbtqiandwhat,#lgbtqiandwhat
#edchat,#edchat
@libsoftiktok,@libsoftiktok
#qatar,#qatar
@LincsPolice,@LincsPolice
#lgbtqia,#lgbtqia
#madeup,#madeup
#librarians,#librarians
#satire,#satire
@FoxNews,@FoxNews
#bannedbooksweek,#bannedbooksweek
#parenting,#parenting
@againstgrmrs,@againstgrmrs
#wtf,#wtf
#lgbt,#lgbt
